Subject,Age,Gender,Location ID,Description,Location_Type,Suburb,Post Code,Lat,Lon,Time of Arrival,Time of Departure,Duration
49,65,1,10001,NULL,Home,Greenvale,3059,-37.640616,144.8834858,2013/2/24 7:00,2013/2/24 23:00,960
51,35,2,10002,NULL,Home,Sunbury,3429,-37.582356,144.70768,2013/2/24 7:00,2013/2/24 10:30,210
51,35,2,10003,NULL,"Private Transport (private or rented car, motorbike)",NULL,NULL,NULL,NULL,2013/2/24 10:30,2013/2/24 10:35,5
51,35,2,10004,The Reject Shop,"Retail and hospitality (bars, cafes, shops, hair dressing, etc.) ",Sunbury,3429,-37.580002,144.727982,2013/2/24 10:35,2013/2/24 10:55,20
51,35,2,10005,Macs Cafe,"Retail and hospitality (bars, cafes, shops, hair dressing, etc.) ",Sunbury,3429,-37.57653,144.728424,2013/2/24 10:55,2013/2/24 12:30,95
51,35,2,10006,NULL,"Private Transport (private or rented car, motorbike)",NULL,NULL,NULL,NULL,2013/2/24 12:30,2013/2/24 12:35,5
51,35,2,10007,NULL,Home,Sunbury,3429,-37.582356,144.70768,2013/2/24 12:35,2013/2/24 13:30,55
51,35,2,10008,NULL,"Private Transport (private or rented car, motorbike)",NULL,NULL,NULL,NULL,2013/2/24 13:30,2013/2/24 13:50,20
51,35,2,10009,Airport Westfield,"Retail and hospitality (bars, cafes, shops, hair dressing, etc.) ",Airport West,3042,-37.71385,144.88682,2013/2/24 13:50,2013/2/24 16:30,160
51,35,2,10010,NULL,"Private Transport (private or rented car, motorbike)",NULL,NULL,NULL,NULL,2013/2/24 16:30,2013/2/24 17:30,60
51,35,2,10011,NULL,Home,Sunbury,3429,-37.582356,144.70768,2013/2/24 17:30,2013/2/24 18:00,30
51,35,2,10012,NULL,"Private Transport (private or rented car, motorbike)",NULL,NULL,NULL,NULL,2013/2/24 18:00,2013/2/24 18:05,5
51,35,2,10013,La Porchetta,"Retail and hospitality (bars, cafes, shops, hair dressing, etc.) ",Sunbury,3429,-37.579762,144.726044,2013/2/24 18:05,2013/2/24 19:30,85
51,35,2,10014,NULL,"Private Transport (private or rented car, motorbike)",NULL,NULL,NULL,NULL,2013/2/24 19:30,2013/2/24 19:35,5
53,-2,2,10015,NULL,Home,Kew East,3102,-37.79788,145.05404,2013/3/9 7:00,2013/3/9 9:00,120
53,-2,2,10016,NULL,Car journey (respondent alone in the car),NULL,NULL,NULL,NULL,2013/3/9 9:00,2013/3/9 9:18,18
53,-2,2,10017,University of Melbourne Swimming Pool,Sport and recreation,University Of Melbourne,3010,-37.795976,144.961472,2013/3/9 9:18,2013/3/9 10:30,72
53,-2,2,10018,University of Melbourne: Ian Potter Cafe,"Retail and hospitality (bars, cafes, shops, hair dressing, etc.) ",University Of Melbourne,3010,-37.795976,144.961472,2013/3/9 10:30,2013/3/9 11:30,60
53,-2,2,10019,NULL,Car journey (respondent alone in the car),NULL,NULL,NULL,NULL,2013/3/9 11:30,2013/3/9 11:48,18
53,-2,2,10020,NULL,Home,Kew East,3102,-37.79788,145.05404,2013/3/9 11:48,2013/3/9 23:00,672
62,56,2,10021,NULL,Home,Kew,3101,-37.804722,145.04644,2013/2/24 7:00,2013/2/24 11:00,240
62,56,2,10022,Koonung Trail,"Public spaces (parks, streets, stations, airports etc.)",Balwyn North,3104,-37.78196,145.09621,2013/2/24 11:00,2013/2/24 12:00,60
62,56,2,10023,NULL,Home,Kew,3101,-37.804722,145.04644,2013/2/24 12:00,2013/2/24 12:30,30
62,56,2,10024,Leo's Supermarket,"Retail and hospitality (bars, cafes, shops, hair dressing, etc.) ",Kew,3101,-37.806389,145.029129,2013/2/24 12:30,2013/2/24 12:45,15
62,56,2,10025,NULL,Home,Kew,3101,-37.804722,145.04644,2013/2/24 12:45,2013/2/24 23:00,615
63,41,2,10026,NULL,Home,Kew,3101,-37.80744218,145.0289334,2013/2/24 7:00,2013/2/24 11:30,270
63,41,2,10027,NULL,"Private Transport (private or rented car, motorbike)",NULL,NULL,NULL,NULL,2013/2/24 11:30,2013/2/24 12:00,30
63,41,2,10028,"Our Lady of Maronite, Lebanese church",Other ,Thornbury,3071,-37.757381,144.982178,2013/2/24 12:00,2013/2/24 13:20,80
63,41,2,10029,NULL,"Private Transport (private or rented car, motorbike)",NULL,NULL,NULL,NULL,2013/2/24 13:20,2013/2/24 13:30,10
63,41,2,10030,"Maha, Restaurant in the City","Retail and hospitality (bars, cafes, shops, hair dressing, etc.) ",Melbourne,3000,-37.818218,144.962448,2013/2/24 13:30,2013/2/24 16:30,180
63,41,2,10031,NULL,Home,Kew,3101,-37.80744218,145.0289334,2013/2/24 16:30,2013/2/24 17:10,40
63,41,2,10032,NULL,Work,Kew,3101,-37.8057843,145.0335624,2013/2/24 17:10,2013/2/24 18:30,80
63,41,2,10033,Woolworths Supermarket,"Retail and hospitality (bars, cafes, shops, hair dressing, etc.) ",Kew,3101,-37.80584,145.03134,2013/2/24 18:30,2013/2/24 18:50,20
63,41,2,10034,NULL,Home,Kew,3101,-37.80744218,145.0289334,2013/2/24 18:50,2013/2/24 23:00,250
68,73,2,10035,NULL,Home,Balwyn North,3104,-37.784013,145.092255,2013/3/21 7:00,2013/3/21 23:00,960
73,83,2,10036,NULL,Home,Ashwood,3147,-37.8669281,145.1028595,2013/2/24 7:00,2013/2/24 23:00,960
85,31,2,10037,NULL,Home,Sunbury,3429,-37.566139,144.726547,2013/2/26 7:00,2013/2/26 8:20,80
85,31,2,10038,Kindergarten,Work,Sunbury,3429,-37.581261,144.696976,2013/2/26 8:20,2013/2/26 8:35,15
85,31,2,10039,School:,"Study (Uni, school, kindergarden, childcare centre etc)",Sunbury,3429,-37.565361,144.728607,2013/2/26 8:35,2013/2/26 9:00,25
85,31,2,10040,NULL,Home,Sunbury,3429,-37.566139,144.726547,2013/2/26 9:00,2013/2/26 10:30,90
85,31,2,10041,Sunbury Square,"Retail and hospitality (bars, cafes, shops, hair dressing, etc.) ",Sunbury,3429,-37.577771,144.72987,2013/2/26 10:30,2013/2/26 12:30,120
85,31,2,10042,Kindergarten,"Arts and culture (cinema, library, gigs, museum, theatre etc.) ",Sunbury,3429,-37.581261,144.696976,2013/2/26 12:30,2013/2/26 13:00,30
85,31,2,10043,NULL,Home,Sunbury,3429,-37.566139,144.726547,2013/2/26 13:00,2013/2/26 15:15,135
85,31,2,10044,School:,"Study (Uni, school, kindergarden, childcare centre etc)",Sunbury,3429,-37.565361,144.728607,2013/2/26 15:15,2013/2/26 15:25,10
85,31,2,10045,NULL,Home,Sunbury,3429,-37.566139,144.726547,2013/2/26 15:25,2013/2/26 23:00,455
